ZONAS,ESPACIO,OBJETO,Tipo,Variante,L,A,H,m3
ZONAS PRIVADAS,HABITACION,CAMA,Cama sencilla,Base cama,1.90,1.00,0.40,0.90
ZONAS PRIVADAS,HABITACION,CAMA,Cama sencilla,Base + espaldar,1.90,1.00,0.90,1.10
ZONAS PRIVADAS,HABITACION,CAMA,Cama sencilla,Madera completa,2.00,1.00,1.00,1.30
ZONAS PRIVADAS,HABITACION,CAMA,Cama doble,Base cama,1.90,1.40,0.40,1.20
ZONAS PRIVADAS,HABITACION,CAMA,Cama doble,Base + espaldar,1.90,1.40,0.90,1.50
ZONAS PRIVADAS,HABITACION,CAMA,Cama doble,Madera completa,2.00,1.40,1.00,1.70
ZONAS PRIVADAS,HABITACION,CAMA,Cama queen,Base cama,2.00,1.60,0.40,1.50
ZONAS PRIVADAS,HABITACION,CAMA,Cama queen,Base + espaldar,2.00,1.60,0.95,1.80
ZONAS PRIVADAS,HABITACION,CAMA,Cama queen,Madera completa,2.00,1.60,1.10,2.10
ZONAS PRIVADAS,HABITACION,CAMA,Cama king,Base cama,2.00,2.00,0.40,1.80
ZONAS PRIVADAS,HABITACION,CAMA,Cama king,Base + espaldar,2.00,2.00,1.00,2.20
ZONAS PRIVADAS,HABITACION,CAMA,Cama king,Madera completa,2.10,2.00,1.15,2.60
ZONAS PRIVADAS,HABITACION,CAMA,Camarote,Madera,2.00,1.00,1.70,2.50
ZONAS PRIVADAS,HABITACION,CAMA,Cama nido,Madera,2.00,1.00,0.80,2.00
ZONAS PRIVADAS,HABITACION,COLCHONES,Sencillo,,1.90,1.00,0.30,0.60
ZONAS PRIVADAS,HABITACION,COLCHONES,Doble,,1.90,1.40,0.30,0.80
ZONAS PRIVADAS,HABITACION,COLCHONES,Queen,,2.00,1.60,0.30,1.00
ZONAS PRIVADAS,HABITACION,COLCHONES,King,,2.00,2.00,0.30,1.20
ZONAS PRIVADAS,HABITACION,CLOSETS,Closet pequeño,,1.20,0.60,2.00,1.50
ZONAS PRIVADAS,HABITACION,CLOSETS,Closet mediano,,1.80,0.60,2.20,2.50
ZONAS PRIVADAS,HABITACION,CLOSETS,Closet grande,,2.40,0.60,2.40,3.50
ZONAS PRIVADAS,HABITACION,CLOSETS,Armario plástico,,1.20,0.50,1.80,1.20
ZONAS PRIVADAS,HABITACION,CLOSETS,Armario metálico,,1.00,0.50,2.00,1.80
ZONAS PRIVADAS,HABITACION,MUEBLES AUXILIARES,Mesa noche,,0.50,0.40,0.50,0.30
ZONAS PRIVADAS,HABITACION,MUEBLES AUXILIARES,Cómoda,,1.20,0.45,0.90,1.20
ZONAS PRIVADAS,HABITACION,MUEBLES AUXILIARES,Tocador,,1.20,0.50,1.10,1.30
ZONAS PRIVADAS,HABITACION,MUEBLES AUXILIARES,Escritorio pequeño,,1.20,0.60,0.75,0.90
ZONAS PRIVADAS,HABITACION,MUEBLES AUXILIARES,Escritorio grande,,1.60,0.70,0.75,1.40
ZONAS PRIVADAS,HABITACION,MUEBLES AUXILIARES,Biblioteca,,1.00,0.40,2.00,1.80
ZONAS PRIVADAS,HABITACION,TIPOS DE CAJAS,Caja pequeña,,0.40,0.30,0.30,0.04
ZONAS PRIVADAS,HABITACION,TIPOS DE CAJAS,Caja mediana,,0.50,0.40,0.35,0.07
ZONAS PRIVADAS,HABITACION,TIPOS DE CAJAS,Caja grande,,0.60,0.50,0.35,0.10
ZONAS PRIVADAS,HABITACION,TIPOS DE CAJAS,Caja ropera,,0.50,0.50,1.20,0.30
ZONAS PRIVADAS,HABITACION,TIPOS DE CAJAS,Caja libro,,0.40,0.30,0.30,0.04
ZONAS PRIVADAS,HABITACION,TIPOS DE CAJAS,Caja archivo,,0.45,0.35,0.30,0.05
ZONAS PRIVADAS,HABITACION,ELECTRODOMESTICOS,Ventilador pedestal,,0.50,0.50,1.20,0.30
ZONAS PRIVADAS,HABITACION,ELECTRODOMESTICOS,Ventilador torre,,0.30,0.30,1.00,0.09
ZONAS PRIVADAS,HABITACION,ELECTRODOMESTICOS,Aire acondicionado portátil,,0.45,0.40,0.75,0.14
